Name,Archive,Assignee,Category,Date between,Do Date,Final Delivery,Initial Delivery,Overdue by,Phase,Priority,Product,Project Archive,Project timeline,Projects,Revision 1 Delivery,Revision 1 Internal,Revision 2 Delivery,Revision 2 Internal,Status
Header — “Shop Now” button,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Home Page — Offering Tile Images,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Home Page — Why Us Section,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Post-Purchase Page,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tally Form Custom Visuals,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tally Form The PDF Vibe,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tally Form The Vibe,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tally Form The Ultimate Vibe,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
All — Change CTA,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Complete newest website changes,No,,,198,"November 27, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Finalize Company Ambassador contract,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tracking New (Internal) Bonus Structure,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Create interactive walk throughs for Framer,No,,Help Section Creation,,,No,No,Not Overdue,,Medium,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Add an FAQ page with multiple entries,No,,Framer Site,,,No,No,Not Overdue,,Low,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Add Blog Page with 3 entries,No,,Framer Site,,,No,No,Not Overdue,,Low,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Complete a checkout of all products on the website,No,,,198,"November 27, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
"Change over Facebook, YT, IG",No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
