Name,Amplify Number,Amplify Tasks,Archive,Archive formula,Client,Done/All Tasks,Email,Final Delivery,ID,Initial Delivery,Order #,Priority,Progress,Revision 1 Delivery,Revision 1 Internal,Revision 2 Delivery,Revision 2 Internal,Staging Link,Start Date,Status,Status 1,Submit Update,Target Ship Date,Task archive percentage,Tasks,Tasks Ratio,Timeline,Type,Website Tasks
Amplify Main Website,1,,No,Not Archived,,18/37,,No,1,Yes,,High Priority,0.4864864864864865,No,No,No,No,,,In Work,In Progress,,,0,"Header — “Shop Now” button (https://app.notion.com/p/Header-Shop-Now-button-293ec2c4642880909740cd32e6a666c7?pvs=21), Home Page — Offering Tile Images (https://app.notion.com/p/Home-Page-Offering-Tile-Images-293ec2c46428803ba349e36e3cc4d396?pvs=21), Home Page — Why Us Section (https://app.notion.com/p/Home-Page-Why-Us-Section-293ec2c46428802b9e00fe51af1912a8?pvs=21), Post-Purchase Page (https://app.notion.com/p/Post-Purchase-Page-293ec2c4642880d189b4ee48c75855a3?pvs=21), Tally Form Custom Visuals (https://app.notion.com/p/Tally-Form-Custom-Visuals-293ec2c4642880d8896bea83d2c75b08?pvs=21), Tally Form The PDF Vibe (https://app.notion.com/p/Tally-Form-The-PDF-Vibe-293ec2c4642880efa5c4d36a9cb73264?pvs=21), Tally Form The Vibe (https://app.notion.com/p/Tally-Form-The-Vibe-293ec2c4642880479aa3d0ef35156a94?pvs=21), Tally Form The Ultimate Vibe (https://app.notion.com/p/Tally-Form-The-Ultimate-Vibe-293ec2c464288022b9b9ff04644014c0?pvs=21), All — Change CTA (https://app.notion.com/p/All-Change-CTA-293ec2c46428809783becb8ca730c5a8?pvs=21), Complete newest website changes (https://app.notion.com/p/Complete-newest-website-changes-2b6ec2c4642880e995b8c6e9a8fa3bcb?pvs=21), Finalize Company Ambassador contract (https://app.notion.com/p/Finalize-Company-Ambassador-contract-2b6ec2c4642880c09ebaf84faef80006?pvs=21), Tracking New (Internal) Bonus Structure (https://app.notion.com/p/Tracking-New-Internal-Bonus-Structure-2b6ec2c46428802a8a87c429528188c9?pvs=21), Create interactive walk throughs for Framer (https://app.notion.com/p/Create-interactive-walk-throughs-for-Framer-2b6ec2c4642880f1b5b4ebba9ccb0a7a?pvs=21), Add an FAQ page with multiple entries (https://app.notion.com/p/Add-an-FAQ-page-with-multiple-entries-2b6ec2c46428809a93f2c798cfcf57eb?pvs=21), Add Blog Page with 3 entries (https://app.notion.com/p/Add-Blog-Page-with-3-entries-2b6ec2c46428809da7d9c56159581c98?pvs=21), Complete a checkout of all products on the website (https://app.notion.com/p/Complete-a-checkout-of-all-products-on-the-website-2b6ec2c46428804dac21c0dbf2fde526?pvs=21), Change over Facebook, YT, IG (https://app.notion.com/p/Change-over-Facebook-YT-IG-2b6ec2c4642880ae99f3f473df8f0820?pvs=21), Change passwords for all socials (https://app.notion.com/p/Change-passwords-for-all-socials-2b6ec2c4642880e1917bc1dae73aee8f?pvs=21), Get high res profile picture and header across all socials (https://app.notion.com/p/Get-high-res-profile-picture-and-header-across-all-socials-2b6ec2c4642880dcbe0fc962b34510a2?pvs=21), Add “YEAR” to CRM + intakes (https://app.notion.com/p/Add-YEAR-to-CRM-intakes-2b6ec2c46428809686c4d5d84878af5f?pvs=21), Remove estimated timeline section from Gmail draft (https://app.notion.com/p/Remove-estimated-timeline-section-from-Gmail-draft-2b6ec2c4642880019b7bdde44e44e6c8?pvs=21), Clean up Google Drive (https://app.notion.com/p/Clean-up-Google-Drive-2b6ec2c4642880c99d4fdd949487c06b?pvs=21), Complete the automation change - looping stops after last URL upload (https://app.notion.com/p/Complete-the-automation-change-looping-stops-after-last-URL-upload-2c9ec2c464288061a8e7ed3576dcdcb8?pvs=21), Get ALL the Agreement’s checked by a corporate lawyer (https://app.notion.com/p/Get-ALL-the-Agreement-s-checked-by-a-corporate-lawyer-2c9ec2c4642880088d30dde4ef06d092?pvs=21), Clean up the slack “To Do List” channel (https://app.notion.com/p/Clean-up-the-slack-To-Do-List-channel-2c9ec2c464288008bda9fcf32e7977a9?pvs=21), Complete the Ambassador Promo Kit (https://app.notion.com/p/Complete-the-Ambassador-Promo-Kit-2caec2c4642880cf89cdd1a00ccf506b?pvs=21), Add Ambassador Assets to the Slack channel (https://app.notion.com/p/Add-Ambassador-Assets-to-the-Slack-channel-2caec2c4642880ce8156c5a5a9428604?pvs=21), Create a media bank of visuals for social media (https://app.notion.com/p/Create-a-media-bank-of-visuals-for-social-media-2caec2c4642880b39597c92ad9eb3edf?pvs=21), Finalize week 1 hard launch marketing plan (https://app.notion.com/p/Finalize-week-1-hard-launch-marketing-plan-2caec2c46428807ca2f2fd9e1125a1a5?pvs=21), Make sure all the intake zaps correctly deliver the submission row to the CRM (https://app.notion.com/p/Make-sure-all-the-intake-zaps-correctly-deliver-the-submission-row-to-the-CRM-2ccec2c4642880099e72ecc2838d4e68?pvs=21), Add 8 Product Specific Tasks Buttons (https://app.notion.com/p/Add-8-Product-Specific-Tasks-Buttons-2ccec2c4642880dea792eb287d1c6786?pvs=21), Can I create buttons inside those specific pages that will trigger the zap to send that clients version of the necessary email (https://app.notion.com/p/Can-I-create-buttons-inside-those-specific-pages-that-will-trigger-the-zap-to-send-that-clients-vers-2ccec2c46428807f9da4db2fc53bd8d6?pvs=21), Build Out Each Template Page For Each Product (https://app.notion.com/p/Build-Out-Each-Template-Page-For-Each-Product-2cdec2c4642880b39b1fd64198843eaa?pvs=21), Make sure that the Ambassador automation will always work to add the photo of signature to the page, or create an ifferror then just submit with no image and only name, phone, email data entry (https://app.notion.com/p/Make-sure-that-the-Ambassador-automation-will-always-work-to-add-the-photo-of-signature-to-the-page--2cdec2c4642880f0be6dce17dfd18137?pvs=21), !!RELINK ALL THE INTAKE FORMS TO THE CRM!! (https://app.notion.com/p/RELINK-ALL-THE-INTAKE-FORMS-TO-THE-CRM-2cdec2c4642880dc8deee8a9d95fa43b?pvs=21), MAKE SURE ALL THE FORMS HAVE THE CORRECT “REQUIRED” ITEMS (https://app.notion.com/p/MAKE-SURE-ALL-THE-FORMS-HAVE-THE-CORRECT-REQUIRED-ITEMS-2cdec2c4642880e6a5e5e8786a387cf3?pvs=21), Complete (https://app.notion.com/p/Complete-307ec2c4642880d4b688c555d99323ab?pvs=21)",18/37 Tasks Done,"October 23, 2025 → November 12, 2025",Website,
Mind Pirate - The Ultimate Vibe,24,,No,Not Archived,,0/12,,No,5,No,,,0,No,No,No,No,https://altruistic-aims-426531.framer.app/,,Complete,Not Started,,,0,"Add Project Data To Notion (https://app.notion.com/p/Add-Project-Data-To-Notion-2ccec2c46428806ea0acf45e8d5ec0db?pvs=21), Confirm Client Google Drive Folder Is Created (https://app.notion.com/p/Confirm-Client-Google-Drive-Folder-Is-Created-2ccec2c4642880638f2fc742ddd49dbc?pvs=21), Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder (https://app.notion.com/p/Confirm-Signed-Service-Agreements-Have-Been-Generated-Placed-In-Google-Drive-Folder-2ccec2c4642880fdae64d79e8bfd77dd?pvs=21), Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder (https://app.notion.com/p/Confirm-Creative-Brief-Document-Has-Been-Generated-Placed-In-Google-Drive-Folder-2ccec2c464288041a6e3fc7ba0f434d3?pvs=21), Confirm Welcome Email Draft Is In Gmail Drafts Folder (https://app.notion.com/p/Confirm-Welcome-Email-Draft-Is-In-Gmail-Drafts-Folder-2ccec2c4642880469965d1d0542dc1a9?pvs=21), Perform Intake Audit (missing any info?) (https://app.notion.com/p/Perform-Intake-Audit-missing-any-info-2ccec2c4642880859822cd13f7c01ae6?pvs=21), Send Welcome Email (https://app.notion.com/p/Send-Welcome-Email-2ccec2c46428801ca249fb4a7c769be2?pvs=21), Send Notice To Devs/Graphic Designers That A New Project Is Ready (https://app.notion.com/p/Send-Notice-To-Devs-Graphic-Designers-That-A-New-Project-Is-Ready-2ccec2c4642880efbd14f7692a5f1487?pvs=21), Send Client Initial Delivery (https://app.notion.com/p/Send-Client-Initial-Delivery-2ccec2c4642880008156c8e6f4f0d816?pvs=21), Does Client Need Revisions (https://app.notion.com/p/Does-Client-Need-Revisions-2ccec2c464288067a52de48fcd730c25?pvs=21), Send Client Final Delivery Email (https://app.notion.com/p/Send-Client-Final-Delivery-Email-2ccec2c4642880608dcfe7a3c9088c23?pvs=21), Send Testimonials Request + 20% Next Purchase (https://app.notion.com/p/Send-Testimonials-Request-20-Next-Purchase-2ccec2c4642880799ae0f01146c3968c?pvs=21)",0/12 Tasks Done,,Website,
BENZØ - The Ultimate Vibe,23,,No,Not Archived,BENZØ,0/0,,No,58,No,,,,No,No,No,No,https://bashful-screens-907095.framer.app/,,Complete,Not Started,,,,,0/0 Tasks Done,,Website,
BENZØ - 3 (PK) Visuals,22,,No,Not Archived,BENZØ,0/0,,No,59,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Custom Visuals,
BENZØ - 3 Consultations,21,,No,Not Archived,BENZØ,0/0,,No,60,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Consultations,
Jenergy - The Vibe,20,,No,Not Archived,Jenergy,0/0,,No,61,No,,,,No,No,No,No,https://unlimited-experiences-032158.framer.app/,,Complete,Not Started,,,,,0/0 Tasks Done,,Website,
OOZIK - The Ultimate Vibe,19,,No,Not Archived,OOZIK,0/0,,No,62,No,,,,No,No,No,No,https://unreal-grammar-343038.framer.app/,,Complete,Not Started,,,,,0/0 Tasks Done,,Website,
Kaptain Kitty - The Vibe,18,,No,Not Archived,Kaptain Kitty,0/0,,No,63,No,,,,No,No,No,No,https://www.kaptainkitty.com/,,Complete,Not Started,,,,,0/0 Tasks Done,,Website,
UNSUB - The Vibe,17,,No,Not Archived,UNSUB,0/0,,No,64,No,,,,No,No,No,No,https://real-ice-732599.framer.app/,,Complete,Not Started,,,,,0/0 Tasks Done,,Website,
Kingsboro Compute Campus - 1 (PK) Visuals,16,,No,Not Archived,Kingsboro Compute Campus,0/0,,No,65,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Custom Visuals,
Ookay - 3 (PK) Visuals,15,,No,Not Archived,Ookay,0/0,,No,66,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Custom Visuals,
Jenergy - 1 (PK) Visuals,14,,No,Not Archived,Jenergy,0/0,,No,67,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Custom Visuals,
OOZIK - 3 (PK) Visuals,13,,No,Not Archived,OOZIK,0/0,,No,68,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Custom Visuals,
UNSUB - 1 (PK) Visuals,12,,No,Not Archived,UNSUB,0/0,,No,69,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Custom Visuals,
Ookay - 3 Consultations,11,,No,Not Archived,Ookay,0/0,,No,70,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Consultations,
Kaptain Kitty - 1 (PK) Visuals,10,,No,Not Archived,Kaptain Kitty,0/0,,No,71,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Custom Visuals,
OOZIK - 3 Consultations,9,,No,Not Archived,OOZIK,0/0,,No,72,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Consultations,
Jenergy - 1 Consultations,8,,No,Not Archived,Jenergy,0/0,,No,73,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Consultations,
UNSUB - 1 Consultations,7,,No,Not Archived,UNSUB,0/0,,No,75,No,,,,No,No,No,No,,,Not Started,Not Started,,,,,0/0 Tasks Done,,Consultations,
Ookay - The Ultimate Vibe,6,,No,Not Archived,Ookay,0/0,,No,77,No,,,,No,No,No,No,https://gentle-essentials-775453.framer.app/,,Ready To Deliver,Not Started,,,,,0/0 Tasks Done,,Website,
Kingsboro Compute Campus - The Vibe,5,,No,Not Archived,Kingsboro Compute Campus,0/0,,No,78,No,,,,No,No,No,No,,,Complete,Not Started,,,,,0/0 Tasks Done,,Website,
OVMG - The Vibe,4,,No,Not Archived,,0/0,https://superfluous-interface-490965.framer.app/,No,79,No,,,,No,No,No,No,https://jovial-designers-231938.framer.app/,,Complete,Not Started,,,,,0/0 Tasks Done,,Website,
OV - The Vibe,3,,No,Not Archived,,0/0,https://prosperous-accessibility-764308.framer.app/,No,80,No,,,,No,No,No,No,https://same-interfaces-348983.framer.app/,,Complete,Not Started,,,,,0/0 Tasks Done,,Website,
Carbon Sponge - The Vibe,2,,No,Not Archived,,0/0,,No,81,No,,,,No,No,No,No,,,Complete,Not Started,,,,,0/0 Tasks Done,,Website,
